BRR_DOP,BRR_RV2T,BRR_EntropyZ,BRR_EntropyN,BRR_EntropyE,BRR_KurtosisZ,BRR_KurtosisN,BRR_KurtosisE,BRR_SkewZ,BRR_SkewN,BRR_SkewE,BRR_CDZ,BRR_CDN,BRR_CDE,EsSismo
0.237358533,0.608012378,3.305124369,3.120652253,2.926026452,2.566896801,1.230805048,1.08967626,0.176191976,-0.426906923,-0.351012837,0.864603843,0.889351918,0.845742526,1
0.102085664,0.154090782,2.206655211,2.654896521,2.704218514,-0.265606202,-0.931676423,-0.869224187,-0.358333157,0.044066655,0.134739648,0.927381055,0.946774951,0.894706036,0
0.121020898,0.555485879,3.261457032,3.282336632,3.316611669,4.002895357,0.936481788,1.327440929,0.585886562,0.08517853,-0.582152288,0.677119897,0.925298943,0.906542611,1
0.15020698,0.180137581,2.621442683,3.089739719,3.0922902,-1.259228153,-0.465548248,-0.508874769,0.125503618,0.340306296,0.06136931,0.870582844,0.925795246,0.91459239,0
0.238241768,0.169829286,3.114116433,3.54434105,3.464128021,-0.171570374,-0.687433906,-0.445633791,0.303551122,0.112213432,0.06565451,0.951133327,0.927414001,0.966053849,1
0.079562192,0.253273623,3.454158916,3.739233379,3.427016212,-0.525305873,0.246907749,-0.5229077,0.096430088,0.251558184,-0.027747808,0.926203545,0.90914844,0.94431026,0
0.147338886,0.554498991,3.723698706,3.350376358,3.315431161,1.9954619,3.980112168,3.163165286,0.006645892,0.213617846,-0.165980546,0.793511285,0.898171172,0.915940512,1
0.262094447,0.153297673,1.987433963,2.662908444,2.067246429,-0.593172191,-0.336875539,-1.017921156,-0.144802997,-0.084626703,0.143486337,0.939467358,0.920516984,0.953546922,0
0.074695695,0.456168973,3.43278885,3.443593859,3.327114252,3.206253731,0.138462082,0.58967225,-0.784030126,0.074422873,-0.293373451,0.916596537,0.95212351,0.937668741,1
0.178960449,0.106233633,2.582410812,3.355938036,3.158652585,0.486818885,-0.488920542,-0.437173955,-0.27565575,-0.254862764,-0.108377124,0.957496132,0.970821895,0.959545043,0
0.061458325,0.471933553,2.965847085,2.982260432,3.087194941,2.91525294,0.601509274,-0.109873446,0.404122417,0.629479717,0.056794907,0.844115842,0.94841703,0.968779565,1
0.330713148,0.034879731,1.828773615,3.228671722,2.784494261,-0.56080682,0.298996285,1.247244137,-0.353999555,-0.74905876,0.711440995,0.909553293,0.960303487,0.938998317,0
0.031890737,0.359425402,3.00698658,3.203192605,3.055074567,1.862488092,-0.188085686,-0.320752044,-0.116394603,0.257031105,-0.204588044,0.922236091,0.944594541,0.9477284,1
0.180734013,0.101602322,2.152447188,2.947179421,2.767667326,-0.243349783,-0.417621513,-0.175247651,0.118166401,0.283615323,0.043651806,0.973847189,0.91376798,0.933056849,0
0.051675203,0.323630728,3.658791593,3.885222006,3.783440619,3.251007843,-0.4448889,-0.401382057,-1.09434142,0.249513846,-0.231391548,0.936132358,0.914079556,0.939204397,1
0.095482411,0.179410175,2.326363852,2.76310055,2.635092749,-0.237310166,-0.356275526,-0.487803135,0.082382323,-0.048051004,0.093173952,0.953307782,0.948012507,0.925515318,0
0.097125481,0.495010454,3.214119324,3.16087747,2.901523467,1.161191141,0.289248302,0.443677075,0.670722163,0.227132936,0.215786464,0.873312842,0.936115806,0.949049112,1
0.174409132,0.084121846,1.90716124,2.717763736,2.651332224,-1.033526854,-0.101338613,-0.935308753,0.014356602,0.118444987,-0.036090748,0.95417852,0.918922108,0.930088095,0
0.071624979,0.48168642,3.601555218,3.872019625,3.823750544,8.332349304,3.214754632,4.465276503,1.368091415,0.66420305,-0.816678879,0.758997889,0.927515242,0.890211453,1
0.29362986,0.074934358,2.978825905,3.77031716,3.586501024,-0.432493099,0.363806042,-0.783238505,0.188005191,0.825777754,0.227800285,0.954651219,0.91713365,0.915513511,0
0.38467964,0.741685883,3.812362363,3.937038758,3.98215472,5.348107544,6.384851584,4.845101344,0.030472228,-0.076383919,0.605639046,0.304350938,0.411387881,0.437476951,1
0.087703784,0.168033971,2.376042491,2.854036694,2.749277777,-0.4266041,-0.402733757,-0.473908039,-0.067554004,-0.367741868,-0.059828782,0.950619433,0.942427412,0.94073872,0
0.304196998,0.673386776,3.209783398,2.881513025,2.990402923,4.782683793,1.99565414,4.109993303,-0.085047111,-0.812382733,1.14015425,0.773675773,0.899367253,0.915470764,1
0.123744438,0.155242819,2.037014386,2.337045305,2.57925918,0.087343229,1.110889681,-0.898233357,0.177404112,-0.545693459,0.083079281,0.934904766,0.952950277,0.950491683,0
0.335931451,0.654083517,4.083763362,4.247574243,4.230636202,0.936483455,5.586950877,2.945117856,0.056269768,-0.860379641,-0.381764464,0.220147512,0.399725167,0.357485221,1
0.209489187,0.08174287,2.431735427,3.356647589,3.045937857,-0.485158537,-0.775307388,-0.796257205,-0.208058587,0.083904254,0.129387313,0.916537863,0.95179377,0.928711253,0
0.084906143,0.47348357,4.138343977,4.142828749,3.747839765,1.529059138,-0.608701505,2.483649509,-0.410476456,-0.056854954,-0.9555753,0.954699881,0.940549631,0.940098867,1
0.235393786,0.072384801,3.200065586,3.953989529,3.900428323,-0.450924379,-1.075248039,-0.299304133,0.032985664,-0.142733332,-0.303848111,0.914523884,0.908148719,0.962815051,0
0.028197261,0.296605026,3.293231326,3.429943471,3.424488924,0.693718149,-0.375433184,-0.176138665,0.178406504,-0.231009495,0.200188555,0.925700581,0.913222413,0.909018941,1
0.175630672,0.122173713,2.687964654,3.439304767,3.141241911,-0.5734726,-0.199897775,1.09062217,-0.287704294,0.189146979,-0.55232031,0.972694143,0.930225789,0.964266583,0
0.330233556,0.615662313,3.769500653,3.256796016,3.406690887,3.935873717,0.595050469,4.468250376,-0.778381056,-0.253728728,1.052276977,0.865840053,0.93229922,0.889799445,1
0.213801631,0.075406132,1.882833862,2.882027032,2.576911916,-0.37520611,-0.491651367,-0.031254413,-0.464883226,-0.225203673,-0.574727504,0.939400557,0.940168688,0.93968044,0
0.088807568,0.367077372,3.177267129,3.143381373,3.169742999,1.462701864,0.132104384,-0.478859764,0.018724731,-0.394851061,0.138863695,0.955662231,0.958441494,0.956480301,1
0.296248645,0.146514858,2.859465479,3.485515745,3.040715583,0.299483303,-0.637862581,-0.23495367,-0.238810662,-0.408044809,-0.107053319,0.933528679,0.971533482,0.917825511,0
0.15422395,0.560344354,3.485090435,3.261867607,3.611109962,6.190262698,7.380024092,2.970352549,0.66530062,-0.185822116,-0.041276824,0.567159954,0.872289774,0.915759518,1
0.124962992,0.292457172,2.35943163,2.462842755,2.517109412,-1.072436233,-0.657508272,0.493918941,0.18789338,0.202965161,0.240005525,0.931191354,0.957076337,0.928168864,0
