Estacion;Latitud;Longitud
APAC;7.9;-76.58
MD03;10.704;-74.111
CS01;9.477;-73.473
ARGC;9.858;-74.246
BBAC;2.022;-77.247
GJ08;11.252;-72.877
BAR2;6.592;-73.182
BRR;7.107;-73.712
MD07;10.909;-74.856
BET;2.723;-75.418
CS05;10.034;-73.893
GJ01;12.182;-72.117
CAP2;8.646;-77.359
CAQC;4.402;-73.986
CRJC;11.02;-72.882
TABC;5.011;-74.204
GJ04;11.471;-72.533
CHI;4.63;-73.732
MD05;11.022;-74.212
CBOC;5.864;-76.012
CRU;1.568;-76.951
CVER;4.521;-74.074
CUM;0.941;-77.825
DBB;7.018;-76.21
CS06;10.213;-73.965
CS02;10.15;-73.198
FLO2;1.583;-75.653
FOM;4.475;-73.859
MD02;10.513;-74.111
GARC;2.187;-75.493
MD06;11.281;-73.877
GUA;2.545;-72.627
GUY2C;5.224;-75.365
GR1C;3.003;-78.167
MAP;4.004;-81.606
JAMC;3.215;-76.673
MACC;2.145;-73.848
RGSC;4.368;-74.186
CS04;9.849;-73.778
LCBC;8.857;-76.368
GJ06;11.394;-72.297
MAL;4.013;-77.335
GJ03;11.727;-72.546
CS07;10.21;-73.556
NOR;5.564;-74.869
ORTC;3.909;-75.246
PAM;7.34;-72.7
PIZC;4.965;-77.36
POP2;2.54;-76.676
PRA;3.714;-74.886
PRV;13.376;-81.364
PTB;6.54;-74.456
PTGC;4.199;-72.134
PTLC;-0.171;-74.797
PTA;7.147;-77.808
QUET;4.381;-73.883
GJ09;11.218;-73.248
MD04;10.895;-74.151
GJ05;11.541;-72.848
ROSC;4.84;-74.32
RUS;5.893;-73.083
SJC;9.897;-75.18
URE;7.752;-75.533
PAL;4.905;-76.283
GJ10;10.792;-73.016
SPBC;5.652;-74.072
CS03;9.709;-73.665
HEL;6.191;-75.529
SMAR;11.164;-74.225
MD01;10.424;-74.094
SML1C;8.862;-73.992
CS08;10.51;-73.284
SBTC;4.477;-74.287
SMORC;4.575;-74.17
SOL;6.226;-77.409
TAM;6.436;-71.791
TOL;4.585;-75.32
TUM;1.824;-78.727
TVCAC;4.718;-74.085
URI;11.702;-71.993
GJ02;11.72;-72.309
VIL;4.112;-73.694
YOT;3.983;-76.345
ZAR;7.492;-74.858
