Latitud,Longitud
7.364,-73.202
6.655,-73.610
6.782,-73.035
6.157,-73.909
6.784,-73.131
6.800,-73.140
6.816,-73.138
6.735,-73.176
5.745,-73.934
6.792,-73.109
6.816,-73.041
6.749,-73.046
6.742,-73.212
6.764,-73.171
6.723,-73.139
6.786,-73.117
6.782,-73.079
6.767,-73.090
7.464,-73.422
6.769,-73.159
6.783,-73.118
6.823,-73.140
6.651,-73.117
6.833,-73.153
6.820,-73.150
6.812,-73.183
6.770,-73.211
6.806,-73.170
6.791,-73.151
6.783,-73.138
6.803,-73.151
6.795,-73.141
6.752,-73.181
6.800,-73.165
6.728,-73.154
6.791,-73.169
6.648,-72.779
6.760,-73.157
6.761,-73.081
6.865,-73.118
6.823,-73.162
6.767,-73.154
6.584,-73.566
6.812,-73.165
6.559,-73.422
6.783,-73.110
6.723,-73.190
6.779,-73.178
6.805,-73.053
6.859,-73.286
6.767,-73.178
6.800,-73.144
6.793,-73.137
6.727,-73.046
6.777,-73.094
6.755,-73.187
6.845,-73.192
6.697,-73.540
6.851,-73.137
6.788,-73.122
6.757,-73.173
7.477,-73.219
6.781,-73.138
6.794,-73.133
6.771,-73.077
6.789,-73.202
6.829,-73.356
6.770,-73.158
6.761,-73.143
6.802,-73.145
6.765,-73.174
6.779,-73.067
6.840,-73.107
7.058,-73.209
6.770,-73.064
6.815,-73.117
6.830,-73.271
6.777,-73.176
6.731,-73.195
6.868,-73.321
6.818,-73.175
6.805,-73.147
6.845,-73.148
6.726,-73.216
6.842,-73.110
6.795,-73.130
6.804,-73.164
6.606,-74.007
6.767,-73.140
6.749,-73.162
6.773,-73.134
6.838,-73.324
6.787,-73.120
6.280,-73.649
6.678,-73.197
6.703,-73.126
6.760,-73.110
6.813,-73.142
6.768,-73.125
6.767,-73.150
6.582,-73.244
6.818,-73.191
6.655,-73.995
6.741,-73.119
6.801,-73.147
6.746,-73.157
6.760,-73.165
6.788,-73.151
6.835,-73.101
6.780,-73.126
6.792,-73.148
6.789,-73.142
6.814,-73.109
6.853,-73.306
6.762,-73.079
6.788,-73.137
6.810,-73.142
6.823,-73.108
6.684,-73.117
7.552,-73.041
6.735,-73.303
6.819,-73.186
6.736,-73.183
7.553,-73.080
7.405,-73.216
6.779,-73.130
6.812,-73.118
6.809,-73.122
6.763,-73.163
6.797,-73.121
6.752,-73.171
6.786,-73.088
6.784,-73.150
6.629,-73.602
6.721,-73.122
6.772,-73.120
6.805,-73.140
6.501,-73.093
6.628,-73.222
6.787,-73.106
6.797,-73.165
6.741,-73.103
6.538,-73.539
6.778,-73.179
6.796,-73.157
6.761,-73.158
6.768,-73.104
6.774,-73.126
6.812,-73.156
6.760,-73.054
6.793,-73.157
6.766,-73.170
6.875,-73.183
6.786,-73.094
6.805,-73.213
6.891,-73.015
6.752,-73.169
6.853,-73.206
6.770,-73.181
6.774,-73.150
6.758,-73.317
6.902,-73.024
6.806,-73.100
6.550,-73.901
6.803,-73.397
6.775,-73.174
6.782,-73.146
6.782,-73.157
6.787,-73.073
6.816,-73.142
6.752,-73.148
6.785,-73.129
6.289,-73.685
6.811,-73.149
6.824,-73.139
6.701,-73.199
6.775,-73.140
6.834,-73.134
6.709,-73.197
6.781,-73.159
6.584,-72.852
6.777,-73.180
6.760,-73.160
6.771,-73.172
6.758,-73.151
6.805,-73.125
6.772,-73.165
6.822,-73.115
6.372,-73.661
6.847,-73.301
7.340,-73.192
7.148,-73.361
6.798,-73.129
6.796,-73.173
6.715,-73.181
6.718,-73.020
6.720,-73.197
6.827,-73.174
6.797,-73.123
6.790,-73.100
6.785,-73.106
6.671,-73.084
6.820,-73.214
5.795,-73.999
6.786,-73.132
6.800,-73.147
6.775,-73.114
6.797,-73.121
6.727,-73.123
6.791,-73.193
6.793,-73.149
7.393,-73.502
6.766,-73.117
6.706,-73.235
6.817,-73.154
6.356,-73.599
6.807,-73.109
6.665,-73.606
6.773,-73.179
6.763,-73.206
6.765,-73.161
6.808,-73.208
6.802,-73.221
6.792,-73.052
6.786,-73.118
6.792,-73.149
6.815,-73.160
6.063,-73.876
6.763,-73.168
6.766,-73.158
6.803,-73.349
6.803,-73.148
6.746,-73.161
6.951,-73.212
6.719,-73.176
6.804,-73.039
6.830,-73.172
6.759,-72.907
6.786,-73.104
6.686,-73.054
6.813,-73.146
6.841,-72.857
6.762,-73.147
6.747,-73.167
6.747,-73.201
6.846,-73.451
6.835,-73.301
6.756,-73.143
6.809,-73.138
6.754,-73.136
6.783,-73.192
6.822,-73.179
6.811,-73.014
6.551,-73.579
6.718,-73.227
6.727,-73.220
6.758,-73.051
6.788,-72.683
6.814,-73.137
6.814,-73.152
6.782,-73.146
6.505,-73.568
6.721,-73.228
6.820,-73.151
6.799,-73.134
6.826,-73.098
7.200,-74.019
6.688,-73.553
6.773,-73.186
6.782,-73.109
6.779,-73.137
6.832,-73.353
6.826,-73.362
6.757,-73.149
6.772,-73.183
6.752,-73.148
6.807,-73.154
6.763,-73.162
6.777,-73.021
6.815,-73.098
6.776,-73.091
6.719,-73.126
6.813,-73.100
6.770,-73.129
6.784,-73.141
6.803,-73.165
6.073,-73.771
6.896,-73.210
6.795,-73.129
6.806,-73.135
6.816,-73.158
6.795,-73.178
6.691,-73.215
6.792,-73.140
6.802,-73.159
6.834,-73.144
7.461,-73.487
6.800,-73.138
6.755,-73.150
6.287,-73.670
6.770,-73.172
6.851,-73.155
6.033,-73.803
7.193,-73.656
6.766,-72.953
6.795,-73.161
7.426,-73.205
6.803,-73.087
6.773,-73.115
6.779,-73.146
6.787,-73.047
6.795,-73.111
6.798,-73.120
7.372,-73.374
6.726,-73.129
6.556,-73.449
6.790,-73.141
6.769,-73.142
6.266,-73.842
6.773,-73.143
6.728,-73.139
6.762,-73.157
6.794,-73.078
6.828,-73.168
6.822,-73.154
6.764,-73.233
7.036,-73.361
6.824,-73.160
6.786,-73.130
6.776,-73.054
6.773,-73.179
6.749,-72.971
6.797,-73.130
6.838,-73.115
6.744,-73.134
6.777,-73.138
6.791,-73.164
6.776,-73.108
6.763,-73.103
6.803,-73.030
6.820,-73.123
6.758,-73.143
6.821,-73.139
6.750,-73.079
6.781,-73.114
6.763,-73.180
6.814,-73.322
6.709,-73.205
6.793,-73.148
6.808,-73.161
6.777,-73.104
6.802,-73.160
6.765,-73.143
6.800,-73.138
6.782,-73.145
6.778,-73.129
6.755,-73.081
6.793,-73.153
6.806,-73.174
6.526,-73.542
6.707,-72.968
7.001,-73.179
6.783,-73.175
6.793,-73.133
6.804,-73.170
6.705,-73.063
6.786,-73.063
6.769,-73.153
6.524,-73.565
6.816,-73.083
6.746,-73.126
6.746,-73.064
6.793,-73.129
6.804,-73.165
6.805,-73.071
6.755,-73.141
6.804,-73.168
6.878,-73.355
6.585,-73.161
6.802,-73.209
6.794,-73.109
6.849,-73.166
5.763,-73.919
6.798,-73.096
6.726,-73.161
6.751,-73.087
6.755,-73.135
6.623,-73.224
6.789,-73.132
6.704,-73.206
6.804,-73.162
6.790,-73.126
6.181,-73.636
6.815,-73.131
6.882,-73.273
6.762,-73.102
6.742,-73.175
6.770,-73.108
6.696,-73.149
6.720,-73.118
6.808,-73.045
6.671,-73.174
6.816,-73.179
6.605,-73.606
6.765,-73.079
6.759,-73.149
6.808,-73.094
6.840,-73.187
6.832,-73.182
6.785,-73.170
6.777,-73.106
6.825,-73.175
6.797,-73.143
6.771,-73.048
5.962,-73.791
6.210,-73.981
6.778,-73.081
6.772,-73.136
6.786,-73.095
6.830,-73.223
6.729,-73.164
6.809,-73.180
6.848,-73.154
6.762,-73.112
6.792,-73.143
6.782,-73.137
6.762,-73.200
6.854,-73.285
6.758,-73.169
6.497,-73.089
6.804,-73.099
6.728,-73.096
6.722,-73.182
6.784,-73.070
6.800,-73.186
6.754,-73.065
6.774,-73.100
6.813,-73.180
6.785,-73.153
6.476,-73.625
6.766,-73.091
6.812,-73.137
6.771,-73.183
7.157,-73.325
6.848,-73.117
6.785,-73.112
6.785,-73.200
6.808,-73.161
6.696,-73.112
6.808,-73.104
6.761,-73.175
6.848,-73.217
6.808,-73.066
6.688,-73.208
6.767,-73.155
6.852,-73.156
6.744,-72.967
6.724,-73.198
6.795,-73.139
6.733,-73.138
6.809,-73.153
6.848,-73.173
6.753,-73.202
6.770,-73.102
6.786,-73.173
6.830,-73.102
6.641,-73.180
7.413,-73.201
6.791,-73.006
6.727,-73.172
6.436,-73.406
6.780,-73.125
6.843,-73.214
6.445,-73.463
6.785,-73.059
6.758,-73.147
6.315,-73.688
6.265,-73.568
6.800,-73.162
6.826,-73.180
6.744,-73.134
6.726,-73.160
6.808,-73.092
6.808,-73.114
6.791,-73.157
