Latitude,Longitude,Depth
7.364,-73.202,130.1
6.655,-73.610,102.7
6.782,-73.035,143.9
6.157,-73.909,100.1
6.784,-73.131,150.5
6.800,-73.140,140.4
6.816,-73.138,141.1
6.735,-73.176,150.0
5.745,-73.934,100.0
6.792,-73.109,150.5
6.816,-73.041,149.1
6.749,-73.046,153.6
6.742,-73.212,143.7
6.764,-73.171,148.1
6.723,-73.139,145.8
6.786,-73.117,139.9
6.782,-73.079,154.7
6.767,-73.090,143.5
7.464,-73.422,115.1
6.769,-73.159,144.4
6.783,-73.118,141.9
6.823,-73.140,144.6
6.651,-73.117,136.0
6.833,-73.153,136.8
6.820,-73.150,145.2
6.812,-73.183,141.4
6.770,-73.211,143.8
6.806,-73.170,152.0
6.791,-73.151,150.4
6.783,-73.138,144.0
6.803,-73.151,150.7
6.795,-73.141,147.5
6.752,-73.181,145.8
6.800,-73.165,145.6
6.728,-73.154,143.0
6.791,-73.169,155.1
6.648,-72.779,128.0
6.760,-73.157,138.0
6.761,-73.081,140.6
6.865,-73.118,146.0
6.823,-73.162,138.5
6.767,-73.154,143.3
6.584,-73.566,103.4
6.812,-73.165,139.7
6.559,-73.422,122.5
6.783,-73.110,152.2
6.723,-73.190,153.5
6.779,-73.178,143.0
6.805,-73.053,147.6
6.859,-73.286,128.8
6.767,-73.178,145.9
6.800,-73.144,150.5
6.793,-73.137,150.0
6.727,-73.046,135.8
6.777,-73.094,142.0
6.755,-73.187,145.3
6.845,-73.192,119.8
6.697,-73.540,105.7
6.851,-73.137,147.4
6.788,-73.122,148.0
6.757,-73.173,149.5
7.477,-73.219,131.4
6.781,-73.138,142.3
6.794,-73.133,143.1
6.771,-73.077,146.6
6.789,-73.202,143.1
6.829,-73.356,128.0
6.770,-73.158,138.8
6.761,-73.143,138.7
6.802,-73.145,136.1
6.765,-73.174,142.2
6.779,-73.067,146.0
6.840,-73.107,160.0
7.058,-73.209,141.9
6.770,-73.064,149.2
6.815,-73.117,147.1
6.830,-73.271,145.5
6.777,-73.176,148.1
6.731,-73.195,135.6
6.868,-73.321,119.6
6.818,-73.175,139.6
6.805,-73.147,146.0
6.845,-73.148,142.5
6.726,-73.216,145.2
6.842,-73.110,143.0
6.795,-73.130,141.5
6.804,-73.164,145.6
6.606,-74.007,73.4
6.767,-73.140,149.3
6.749,-73.162,146.0
6.773,-73.134,142.9
6.838,-73.324,141.6
6.787,-73.120,150.5
6.280,-73.649,112.2
6.678,-73.197,144.8
6.703,-73.126,146.9
6.760,-73.110,141.9
6.813,-73.142,144.2
6.768,-73.125,142.0
6.767,-73.150,146.5
6.582,-73.244,146.8
6.818,-73.191,144.3
6.655,-73.995,12.9
6.741,-73.119,152.2
6.801,-73.147,146.1
6.746,-73.157,140.0
6.760,-73.165,140.4
6.788,-73.151,148.0
6.835,-73.101,150.2
6.780,-73.126,146.6
6.792,-73.148,143.8
6.789,-73.142,148.5
6.814,-73.109,152.0
6.853,-73.306,121.8
6.762,-73.079,150.6
6.788,-73.137,141.5
6.810,-73.142,147.9
6.823,-73.108,145.1
6.684,-73.117,144.7
7.552,-73.041,152.3
6.735,-73.303,103.2
6.819,-73.186,142.0
6.736,-73.183,152.0
7.553,-73.080,160.1
7.405,-73.216,128.0
6.779,-73.130,146.0
6.812,-73.118,139.6
6.809,-73.122,151.4
6.763,-73.163,136.9
6.797,-73.121,149.9
6.752,-73.171,151.0
6.786,-73.088,147.2
6.784,-73.150,138.0
6.629,-73.602,100.1
6.721,-73.122,152.3
6.772,-73.120,144.2
6.805,-73.140,139.5
6.501,-73.093,148.1
6.628,-73.222,139.4
6.787,-73.106,148.1
6.797,-73.165,141.6
6.741,-73.103,143.8
6.538,-73.539,108.4
6.778,-73.179,149.7
6.796,-73.157,149.2
6.761,-73.158,144.9
6.768,-73.104,137.9
6.774,-73.126,145.1
6.812,-73.156,144.8
6.760,-73.054,140.0
6.793,-73.157,151.1
6.766,-73.170,152.9
6.875,-73.183,142.1
6.786,-73.094,147.7
